X1 Diff,X2 Diff,X3 Diff,X4 Diff,Odds
-0.581,-0.308,-0.120,-0.336,2.45
0.581,0.308,0.120,0.336,1.59
-0.491,0.745,0.360,0.205,2.15
0.491,-0.745,-0.360,-0.205,1.74
0.744,0.759,0.900,0.801,1.47
-0.744,-0.759,-0.900,-0.801,2.80
0.503,-0.401,-0.620,-0.173,2.20
-0.503,0.401,0.620,0.173,1.71
-0.771,-0.879,-0.530,-0.726,2.45
0.771,0.879,0.530,0.726,1.59
-0.530,0.211,0.320,0.000,1.91
0.530,-0.211,-0.320,0.000,1.91
0.017,0.350,0.250,0.206,1.91
-0.017,-0.350,-0.250,-0.206,1.91
1.163,-0.059,-0.150,0.318,1.56
-1.163,0.059,0.150,-0.318,2.50
0.570,0.181,0.050,0.267,1.83
-0.570,-0.181,-0.050,-0.267,2.00
2.826,1.078,1.490,1.798,1.37
-2.826,-1.078,-1.490,-1.798,3.20
0.531,0.201,-0.100,0.211,2.40
-0.531,-0.201,0.100,-0.211,1.61
-0.461,-0.267,-0.100,-0.276,2.15
0.461,0.267,0.100,0.276,1.74
-0.884,0.313,0.440,-0.044,2.05
0.884,-0.313,-0.440,0.044,1.80
0.480,-0.457,-0.420,-0.133,1.61
-0.480,0.457,0.420,0.133,2.45
0.244,0.767,0.410,0.474,2.40
-0.244,-0.767,-0.410,-0.474,1.63
-0.480,0.093,0.400,0.005,2.10
0.480,-0.093,-0.400,-0.005,1.77
-0.614,-0.219,-0.040,-0.291,2.00
0.614,0.219,0.040,0.291,1.80
0.169,0.502,0.420,0.363,1.65
-0.169,-0.502,-0.420,-0.363,2.35
-0.698,-2.171,-1.140,-1.336,2.45
0.698,2.171,1.140,1.336,1.61
0.911,0.223,0.040,0.392,1.33
-0.911,-0.223,-0.040,-0.392,3.45
0.380,1.771,1.630,1.260,1.87
-0.380,-1.771,-1.630,-1.260,1.95
0.209,0.219,0.500,0.309,1.71
-0.209,-0.219,-0.500,-0.309,2.20
0.589,-0.295,-0.270,0.008,1.77
-0.589,0.295,0.270,-0.008,2.10
0.375,0.923,0.580,0.626,1.59
-0.375,-0.923,-0.580,-0.626,2.50
-1.335,0.555,0.680,-0.033,2.30
1.335,-0.555,-0.680,0.033,1.65
-0.145,-1.353,-1.650,-1.049,2.05
0.145,1.353,1.650,1.049,1.80
0.082,-0.366,-0.330,-0.205,2.05
-0.082,0.366,0.330,0.205,1.77
0.428,-0.333,-0.310,-0.072,2.25
-0.428,0.333,0.310,0.072,1.67
0.514,-0.366,0.100,0.082,1.69
-0.514,0.366,-0.100,-0.082,2.20
-0.258,-0.604,-0.710,-0.524,3.05
0.258,0.604,0.710,0.524,1.41
-0.451,-0.439,-0.430,-0.440,2.10
0.451,0.439,0.430,0.440,1.74
-0.389,-1.452,-1.090,-0.977,2.05
0.389,1.452,1.090,0.977,1.77
-0.303,-0.391,-0.400,-0.365,2.30
0.303,0.391,0.400,0.365,1.56
-0.742,0.178,0.340,-0.075,2.60
0.742,-0.178,-0.340,0.075,1.44
-1.126,-0.108,0.220,-0.338,2.35
1.126,0.108,-0.220,0.338,1.65
0.939,1.010,1.120,1.023,1.43
-0.939,-1.010,-1.120,-1.023,2.90
0.994,0.602,-0.090,0.502,1.57
-0.994,-0.602,0.090,-0.502,2.45
0.348,-0.347,-0.120,-0.040,1.74
-0.348,0.347,0.120,0.040,2.15
-0.191,0.484,0.500,0.264,2.55
0.191,-0.484,-0.500,-0.264,1.67
-0.909,0.707,0.780,0.193,1.83
0.909,-0.707,-0.780,-0.193,2.00
0.816,0.360,0.320,0.499,1.57
-0.816,-0.360,-0.320,-0.499,2.45
-0.252,-0.169,-0.140,-0.187,2.75
0.252,0.169,0.140,0.187,1.47
0.377,-0.332,-0.090,-0.015,1.63
-0.377,0.332,0.090,0.015,2.35
-0.667,-2.311,-0.620,-1.199,2.20
0.667,2.311,0.620,1.199,1.69
0.271,0.395,0.580,0.415,1.77
-0.271,-0.395,-0.580,-0.415,2.10
0.501,0.405,-0.170,0.245,1.54
-0.501,-0.405,0.170,-0.245,2.55
0.991,0.780,0.790,0.854,1.64
-0.991,-0.780,-0.790,-0.854,2.31
